MESHTERM	1963-1974	1975-1988	1989-1994	1995-2001	2002-2008	2009-2015
Spouses	0	0	0	0	0	2
Standard of Care	0	0	0	0	0	2
Static Electricity	0	0	0	0	0	2
Stellate Ganglion	0	0	0	0	0	2
Stochastic Processes	0	0	0	0	0	2
Substance Abuse Treatment Centers	0	0	0	0	0	2
Sulfones	0	0	0	0	0	2
Supine Position	0	0	0	0	0	2
Surgeons	0	0	0	0	0	2
Surgical Equipment	0	0	0	0	0	2
Surgical Flaps	0	0	0	0	0	2
Surgical Wound Infection	0	0	0	0	0	2
Syndrome	0	0	0	0	0	2
Tanzania	0	0	0	0	0	2
Tattooing	0	0	0	0	0	2
Telepathology	0	0	0	0	0	2
Terrorism	0	0	0	0	0	2
Therapies, Investigational	0	0	0	0	0	2
Thoracostomy	0	0	0	0	0	2
Thoracotomy	0	0	0	0	0	2
Thrombosis	0	0	0	0	0	2
Thyroidectomy	0	0	0	0	0	2
Tibial Fractures	0	0	0	0	0	2
Tobacco Smoke Pollution	0	0	0	0	0	2
Tooth Extraction	0	0	0	0	0	2
Tourette Syndrome	0	0	0	0	0	2
Transactional Analysis	0	0	0	0	0	2
Transcaucasia	0	0	0	0	0	2
Transfusion Medicine	0	0	0	0	0	2
Transgendered Persons	0	0	0	0	0	2
Transurethral Resection of Prostate	0	0	0	0	0	2
Ulna Fractures	0	0	0	0	0	2
Ultrasonography, Doppler	0	0	0	0	0	2
Ultrasonography, Prenatal	0	0	0	0	0	2
Underachievement	0	0	0	0	0	2
United States Department of Defense	0	0	0	0	0	2
United States Food and Drug Administration	0	0	0	0	0	2
United States Substance Abuse and Mental Health Services Administration	0	0	0	0	0	2
Universal Coverage	0	0	0	0	0	2
Uruguay	0	0	0	0	0	2
Uterus	0	0	0	0	0	2
Validation Studies as Topic	0	0	0	0	0	2
Value-Based Purchasing	0	0	0	0	0	2
Venous Thromboembolism	0	0	0	0	0	2
Vitrectomy	0	0	0	0	0	2
Vitreous Body	0	0	0	0	0	2
Waist Circumference	0	0	0	0	0	2
Waiting Lists	0	0	0	0	0	2
Wakefulness	0	0	0	0	0	2
Weight Gain	0	0	0	0	0	2
Weight Loss	0	0	0	0	0	2
Wrist Joint	0	0	0	0	0	2
Yoga	0	0	0	0	0	2
Managed Care Programs	0	0	4	70	22	0
Information Services	0	14	4	16	20	0
Los Angeles	0	0	6	4	10	0
Developed Countries	0	0	0	4	10	0
Moral Development	0	0	12	14	8	0
Child Abuse	0	0	0	6	8	0
Hospitals, District	0	2	4	4	8	0
New England	0	0	0	4	8	0
Forms and Records Control	0	0	6	0	8	0
Bioterrorism	0	0	0	0	8	0
Child Health Services	0	0	0	0	8	0
Hepatitis C	0	0	0	0	8	0
Libraries, Digital	0	0	0	0	8	0
Touch	0	0	0	0	8	0
Urologic Surgical Procedures	0	0	0	0	8	0
Artificial Intelligence	0	4	8	8	6	0
Iowa	0	10	6	6	6	0
Drug Therapy	0	2	2	4	6	0
Community Health Planning	0	0	0	4	6	0
Bahrain	0	0	2	2	6	0
Health Facility Closure	0	0	2	2	6	0
Sick Role	0	2	2	0	6	0
Morale	0	2	0	0	6	0
Antitrust Laws	0	0	0	0	6	0
Catholicism	0	0	0	0	6	0
Colposcopy	0	0	0	0	6	0
Habits	0	0	0	0	6	0
Healthy People Programs	0	0	0	0	6	0
Lebanon	0	0	0	0	6	0
Musculoskeletal System	0	0	0	0	6	0
Physical Therapy Specialty	0	0	0	0	6	0
Pregnancy Outcome	0	0	0	0	6	0
Principal Component Analysis	0	0	0	0	6	0
Models, Econometric	0	0	0	8	4	0
Office Visits	0	0	2	6	4	0
Women's Health Services	0	0	0	6	4	0
Accounting	0	0	2	4	4	0
History, Modern 1601-	0	0	2	4	4	0
Colonialism	0	0	0	4	4	0
Elder Abuse	0	0	0	4	4	0
Hernia, Inguinal	0	0	0	4	4	0
Management Quality Circles	0	0	0	4	4	0
Spouse Abuse	0	0	0	4	4	0
Local Area Networks	0	2	2	2	4	0
United States Health Resources and Services Administration	0	0	2	2	4	0
Bayes Theorem	0	2	0	2	4	0
Management Information Systems	0	2	0	2	4	0
Records as Topic	0	2	0	2	4	0
Sleep Disorders	0	2	0	2	4	0
Anti-Inflammatory Agents, Non-Steroidal	0	0	0	2	4	0
Craniocerebral Trauma	0	0	0	2	4	0
Hospitals, Municipal	0	0	0	2	4	0
Kansas	0	0	0	2	4	0
Prostatic Neoplasms	0	0	0	2	4	0
Podiatry	0	0	8	0	4	0
Beneficence	0	0	6	0	4	0
Prenatal Care	0	0	6	0	4	0
Animal Testing Alternatives	0	0	4	0	4	0
Medicare Part A	0	0	4	0	4	0
Nervous System Diseases	0	0	4	0	4	0
National Library of Medicine (U.S.)	2	2	2	0	4	0
Hematology	0	2	2	0	4	0
Population Growth	2	0	2	0	4	0
Anatomy, Artistic	0	0	2	0	4	0
Back Pain	0	0	2	0	4	0
Interdepartmental Relations	0	0	2	0	4	0
Jews	0	0	2	0	4	0
Liability, Legal	0	0	2	0	4	0
Mental Processes	0	0	2	0	4	0
Nebraska	0	0	2	0	4	0
Colorado	0	6	0	0	4	0
Fluid Therapy	0	2	0	0	4	0
Health Facility Administrators	0	2	0	0	4	0
Introversion (Psychology)	0	2	0	0	4	0
Mental Fatigue	0	2	0	0	4	0
Vocabulary	0	2	0	0	4	0
Adrenergic beta-Antagonists	0	0	0	0	4	0
Attention Deficit Disorder with Hyperactivity	0	0	0	0	4	0
Chlamydia Infections	0	0	0	0	4	0
Colonic Diseases	0	0	0	0	4	0
Computer Peripherals	0	0	0	0	4	0
Contraception Behavior	0	0	0	0	4	0
Diagnostic Techniques, Obstetrical and Gynecological	0	0	0	0	4	0
Digital Rectal Examination	0	0	0	0	4	0
Drug Resistance	0	0	0	0	4	0
Early Diagnosis	0	0	0	0	4	0
Extraversion (Psychology)	0	0	0	0	4	0
Fantasy	0	0	0	0	4	0
Fee-for-Service Plans	0	0	0	0	4	0
Health Planning Councils	0	0	0	0	4	0
Injury Severity Score	0	0	0	0	4	0
Intrauterine Devices	0	0	0	0	4	0
Kuwait	0	0	0	0	4	0
Laos	0	0	0	0	4	0
Medical Laboratory Personnel	0	0	0	0	4	0
Natural Science Disciplines	0	0	0	0	4	0
Northern Territory	0	0	0	0	4	0
Nutrition Therapy	0	0	0	0	4	0
Obstetric Nursing	0	0	0	0	4	0
Pediatric Dentistry	0	0	0	0	4	0
Personal Space	0	0	0	0	4	0
Physician-Nurse Relations	0	0	0	0	4	0
Recurrence	0	0	0	0	4	0
Refusal to Participate	0	0	0	0	4	0
Relief Work	0	0	0	0	4	0
Severe Acute Respiratory Syndrome	0	0	0	0	4	0
Temporal Bone	0	0	0	0	4	0
Testis	0	0	0	0	4	0
Thoracic Injuries	0	0	0	0	4	0
Thorax	0	0	0	0	4	0
Disease	0	4	2	10	2	0
Cost Allocation	0	2	4	8	2	0
Sociology	0	10	2	8	2	0
Historiography	0	0	2	8	2	0
Satellite Communications	0	0	0	8	2	0
Freedom	0	0	4	6	2	0
Medical Indigency	0	2	2	6	2	0
Ambulatory Surgical Procedures	0	2	0	6	2	0
Hospital Bed Capacity, under 100	0	0	0	6	2	0
Breast Diseases	0	0	2	4	2	0
State Government	0	0	2	4	2	0
Fees and Charges	0	4	0	4	2	0
Communism	0	2	0	4	2	0
Auscultation	0	0	0	4	2	0
Communications Media	0	0	0	4	2	0
Religious Missions	0	0	0	4	2	0
Coronary Disease	0	0	4	2	2	0
Health Care Rationing	0	0	4	2	2	0
Idaho	0	10	2	2	2	0
Montana	0	8	2	2	2	0
Saskatchewan	0	6	2	2	2	0
Ethicists	0	4	2	2	2	0
Anti-Arrhythmia Agents	0	0	2	2	2	0
Biometry	0	0	2	2	2	0
Hyperlipidemias	0	0	2	2	2	0
Jugular Veins	0	0	2	2	2	0
Manuals as Topic	0	0	2	2	2	0
Museums	0	0	2	2	2	0
Oncology Service, Hospital	0	0	2	2	2	0
Hospital Bed Capacity, 100 to 299	0	12	0	2	2	0
Area Health Education Centers	0	8	0	2	2	0
Adrenal Cortex Hormones	0	4	0	2	2	0
Dreams	0	2	0	2	2	0
Facility Design and Construction	0	2	0	2	2	0
Nutritional Physiological Phenomena	0	2	0	2	2	0
Papua New Guinea	0	2	0	2	2	0
Public Relations	0	2	0	2	2	0
Wyoming	0	2	0	2	2	0
Adolescent Health Services	0	0	0	2	2	0
Ankle	0	0	0	2	2	0
Aviation	0	0	0	2	2	0
Bronchodilator Agents	0	0	0	2	2	0
Catchment Area (Health)	0	0	0	2	2	0
Child Abuse, Sexual	0	0	0	2	2	0
Computing Methodologies	0	0	0	2	2	0
Dissertations, Academic as Topic	0	0	0	2	2	0
Endocrine System Diseases	0	0	0	2	2	0
Epidemiologic Studies	0	0	0	2	2	0
Existentialism	0	0	0	2	2	0
Facility Regulation and Control	0	0	0	2	2	0
Foot	0	0	0	2	2	0
Foot Diseases	0	0	0	2	2	0
Gatekeeping	0	0	0	2	2	0
Genital Diseases, Female	0	0	0	2	2	0
History, Early Modern 1451-1600	0	0	0	2	2	0
Hospitals, County	0	0	0	2	2	0
Hypolipidemic Agents	0	0	0	2	2	0
Kidney	0	0	0	2	2	0
Medically Uninsured	0	0	0	2	2	0
Osteoarthritis	0	0	0	2	2	0
Otitis Media	0	0	0	2	2	0
Phlebotomy	0	0	0	2	2	0
Physician Incentive Plans	0	0	0	2	2	0
Plagiarism	0	0	0	2	2	0
Postal Service	0	0	0	2	2	0
Privatization	0	0	0	2	2	0
Psychology, Medical	0	0	0	2	2	0
Reference Books	0	0	0	2	2	0
Social Problems	0	0	0	2	2	0
Societies, Pharmaceutical	0	0	0	2	2	0
Symbolism	0	0	0	2	2	0
Thanatology	0	0	0	2	2	0
Therapy, Computer-Assisted	0	0	0	2	2	0
Unconscious (Psychology)	0	0	0	2	2	0
Wrist Injuries	0	0	0	2	2	0
Animals, Laboratory	0	0	12	0	2	0
Anemia	0	0	6	0	2	0
Northern Ireland	0	0	6	0	2	0
Subject Headings	0	2	4	0	2	0
Withholding Treatment	0	2	4	0	2	0
Methods	2	42	2	0	2	0
Hospital Bed Capacity, 300 to 499	0	6	2	0	2	0
Personnel Administration, Hospital	0	4	2	0	2	0
Health Planning Organizations	0	2	2	0	2	0
Homes for the Aged	0	2	2	0	2	0
Indonesia	0	2	2	0	2	0
Libraries, Hospital	2	0	2	0	2	0
Advance Directives	0	0	2	0	2	0
Computer Terminals	0	0	2	0	2	0
Employee Discipline	0	0	2	0	2	0
Esthetics	0	0	2	0	2	0
Ethics Consultation	0	0	2	0	2	0
Hospital Administrators	0	0	2	0	2	0
Infant Care	0	0	2	0	2	0
Parent-Child Relations	0	0	2	0	2	0
Pastoral Care	0	0	2	0	2	0
Paternalism	0	0	2	0	2	0
Physical Education and Training	0	0	2	0	2	0
Unified Medical Language System	0	0	2	0	2	0
Professional Review Organizations	0	8	0	0	2	0
Health Facilities	0	6	0	0	2	0
Accident Prevention	0	2	0	0	2	0
Accidents	0	2	0	0	2	0
Administration, Oral	0	2	0	0	2	0
Coroners and Medical Examiners	0	2	0	0	2	0
Electronics, Medical	0	2	0	0	2	0
Iceland	0	2	0	0	2	0
Institutional Practice	0	2	0	0	2	0
Intellectual Disability	0	2	0	0	2	0
Nicaragua	0	2	0	0	2	0
Nurse Clinicians	0	2	0	0	2	0
Prescriptions	0	2	0	0	2	0
Preventive Dentistry	0	2	0	0	2	0
Sudan	0	2	0	0	2	0
Zoology	0	2	0	0	2	0
Abbreviations as Topic	0	0	0	0	2	0
Abdominal Injuries	0	0	0	0	2	0
Accidents, Occupational	0	0	0	0	2	0
Acetaminophen	0	0	0	0	2	0
Administration, Sublingual	0	0	0	0	2	0
Agricultural Workers' Diseases	0	0	0	0	2	0
Aminoglycosides	0	0	0	0	2	0
Anatomy, Comparative	0	0	0	0	2	0
Anesthesia, Obstetrical	0	0	0	0	2	0
Angiotensin Receptor Antagonists	0	0	0	0	2	0
Anoxia	0	0	0	0	2	0
Anthelmintics	0	0	0	0	2	0
Anti-Ulcer Agents	0	0	0	0	2	0
Arabs	0	0	0	0	2	0
Artificial Organs	0	0	0	0	2	0
Asia, Central	0	0	0	0	2	0
Association Learning	0	0	0	0	2	0
Autistic Disorder	0	0	0	0	2	0
Back	0	0	0	0	2	0
Bankruptcy	0	0	0	0	2	0
Bible	0	0	0	0	2	0
Bibliography of Medicine	0	0	0	0	2	0
Binomial Distribution	0	0	0	0	2	0
Biological Warfare	0	0	0	0	2	0
Biophysical Phenomena	0	0	0	0	2	0
Biophysics	0	0	0	0	2	0
Blood	0	0	0	0	2	0
Blood Circulation	0	0	0	0	2	0
Blood-Borne Pathogens	0	0	0	0	2	0
Body Surface Area	0	0	0	0	2	0
Bronchoscopy	0	0	0	0	2	0
Calcium, Dietary	0	0	0	0	2	0
Capitalism	0	0	0	0	2	0
Cardiac Output	0	0	0	0	2	0
Catalogs, Drug	0	0	0	0	2	0
Cattle	0	0	0	0	2	0
Central Nervous System	0	0	0	0	2	0
Cephalosporins	0	0	0	0	2	0
Cervical Intraepithelial Neoplasia	0	0	0	0	2	0
Cervix Uteri	0	0	0	0	2	0
Chemical Warfare	0	0	0	0	2	0
Child Guidance	0	0	0	0	2	0
Child Nutrition Sciences	0	0	0	0	2	0
Chlamydia trachomatis	0	0	0	0	2	0
Cholera	0	0	0	0	2	0
Cholesterol, HDL	0	0	0	0	2	0
Cholesterol, LDL	0	0	0	0	2	0
Chronobiology Phenomena	0	0	0	0	2	0
Chronology as Topic	0	0	0	0	2	0
Citalopram	0	0	0	0	2	0
Clergy	0	0	0	0	2	0
Clinical Enzyme Tests	0	0	0	0	2	0
Clinical Trials, Phase I as Topic	0	0	0	0	2	0
Coercion	0	0	0	0	2	0
Color	0	0	0	0	2	0
Communication Disorders	0	0	0	0	2	0
Community-Acquired Infections	0	0	0	0	2	0
Compensation and Redress	0	0	0	0	2	0
Computer Storage Devices	0	0	0	0	2	0
Connective Tissue	0	0	0	0	2	0
Conservation of Natural Resources	0	0	0	0	2	0
Contraceptives, Postcoital	0	0	0	0	2	0
Coronary Care Units	0	0	0	0	2	0
Cyclooxygenase 2 Inhibitors	0	0	0	0	2	0
Cyclooxygenase Inhibitors	0	0	0	0	2	0
Dairying	0	0	0	0	2	0
Death, Sudden	0	0	0	0	2	0
Deer	0	0	0	0	2	0
Densitometry	0	0	0	0	2	0
Dental Care for Aged	0	0	0	0	2	0
Dental Care for Disabled	0	0	0	0	2	0
Dermatitis, Allergic Contact	0	0	0	0	2	0
Diabetic Foot	0	0	0	0	2	0
Diabetic Neuropathies	0	0	0	0	2	0
Diphosphonates	0	0	0	0	2	0
Directories as Topic	0	0	0	0	2	0
Disabled Children	0	0	0	0	2	0
Disease Models, Animal	0	0	0	0	2	0
DNA, Viral	0	0	0	0	2	0
Drug Costs	0	0	0	0	2	0
Drug Evaluation	0	0	0	0	2	0
Drug Evaluation, Preclinical	0	0	0	0	2	0
Dyssomnias	0	0	0	0	2	0
Ear, Middle	0	0	0	0	2	0
Eidetic Imagery	0	0	0	0	2	0
Elasticity	0	0	0	0	2	0
Electroencephalography	0	0	0	0	2	0
Electromyography	0	0	0	0	2	0
Emblems and Insignia	0	0	0	0	2	0
Embolism, Air	0	0	0	0	2	0
Emergency Nursing	0	0	0	0	2	0
Endocrine Surgical Procedures	0	0	0	0	2	0
Endpoint Determination	0	0	0	0	2	0
Entrepreneurship	0	0	0	0	2	0
Environment Design	0	0	0	0	2	0
Environmental Pollutants	0	0	0	0	2	0
Epilepsy  	0	0	0	0	2	0
Epinephrine	0	0	0	0	2	0
Equipment Failure Analysis	0	0	0	0	2	0
Erectile Dysfunction	0	0	0	0	2	0
Evidence-Based Emergency Medicine	0	0	0	0	2	0
Feces	0	0	0	0	2	0
Femoral Vein	0	0	0	0	2	0
Forensic Pathology	0	0	0	0	2	0
Fractures, Open	0	0	0	0	2	0
Gastrointestinal Agents	0	0	0	0	2	0
Genetic Predisposition to Disease	0	0	0	0	2	0
Genetic Privacy	0	0	0	0	2	0
Genetics	0	0	0	0	2	0
Health Services Misuse	0	0	0	0	2	0
Heart Conduction System	0	0	0	0	2	0
Helping Behavior	0	0	0	0	2	0
Hemoglobin A, Glycosylated	0	0	0	0	2	0
Hepacivirus	0	0	0	0	2	0
Hepatectomy	0	0	0	0	2	0
Hernia, Ventral	0	0	0	0	2	0
Hinduism	0	0	0	0	2	0
Histocytochemistry	0	0	0	0	2	0
HIV	0	0	0	0	2	0
Hospitals, Chronic Disease	0	0	0	0	2	0
Housing	0	0	0	0	2	0
Hyperthyroidism	0	0	0	0	2	0
Hypnotics and Sedatives	0	0	0	0	2	0
Hypovolemia	0	0	0	0	2	0
Ileus	0	0	0	0	2	0
Iliac Artery	0	0	0	0	2	0
Immunization Programs	0	0	0	0	2	0
Incidental Findings	0	0	0	0	2	0
Infection Control Practitioners	0	0	0	0	2	0
Infectious Disease Transmission, Professional-to-Patient	0	0	0	0	2	0
Inflammation	0	0	0	0	2	0
Inflation, Economic	0	0	0	0	2	0
Instinct	0	0	0	0	2	0
Integrated Advanced Information Management Systems	0	0	0	0	2	0
Iron	0	0	0	0	2	0
Kidney Transplantation	0	0	0	0	2	0
Kinetics	0	0	0	0	2	0
Knee Injuries	0	0	0	0	2	0
Knowledge Bases	0	0	0	0	2	0
Labor, Obstetric	0	0	0	0	2	0
Lactation	0	0	0	0	2	0
Laryngeal Masks	0	0	0	0	2	0
Lead Poisoning	0	0	0	0	2	0
Learning Disorders	0	0	0	0	2	0
Library Science	0	0	0	0	2	0
Lung	0	0	0	0	2	0
Lyme Disease	0	0	0	0	2	0
Lymph Node Excision	0	0	0	0	2	0
Macedonia (Republic)	0	0	0	0	2	0
Malassezia	0	0	0	0	2	0
Manipulation, Osteopathic	0	0	0	0	2	0
Maternal Mortality	0	0	0	0	2	0
Medication Systems, Hospital	0	0	0	0	2	0
Mental Health Associations	0	0	0	0	2	0
Migraine Disorders	0	0	0	0	2	0
Missionaries	0	0	0	0	2	0
Monitoring, Intraoperative	0	0	0	0	2	0
Muscles	0	0	0	0	2	0
Musculoskeletal Manipulations	0	0	0	0	2	0
Narcissism	0	0	0	0	2	0
National Institute of Mental Health (U.S.)	0	0	0	0	2	0
National Socialism	0	0	0	0	2	0
Nausea	0	0	0	0	2	0
Neuroanatomy	0	0	0	0	2	0
Neuromuscular Blocking Agents	0	0	0	0	2	0
Nevada	0	0	0	0	2	0
Nifedipine	0	0	0	0	2	0
Nursing Education Research	0	0	0	0	2	0
Nursing Methodology Research	0	0	0	0	2	0
Nursing Process	0	0	0	0	2	0
Oculomotor Muscles	0	0	0	0	2	0
Otorhinolaryngologic Diseases	0	0	0	0	2	0
Otorhinolaryngologic Neoplasms	0	0	0	0	2	0
Pain Measurement	0	0	0	0	2	0
Paint	0	0	0	0	2	0
Panama	0	0	0	0	2	0
Pancreatectomy	0	0	0	0	2	0
Paracentesis	0	0	0	0	2	0
Patch Tests	0	0	0	0	2	0
Pathology, Veterinary	0	0	0	0	2	0
Patient Credit and Collection	0	0	0	0	2	0
Pediatric Nursing	0	0	0	0	2	0
Peptic Ulcer	0	0	0	0	2	0
Perioperative Nursing	0	0	0	0	2	0
Personality Disorders	0	0	0	0	2	0
Persons With Hearing Impairments	0	0	0	0	2	0
Phacoemulsification	0	0	0	0	2	0
Pharmacoepidemiology	0	0	0	0	2	0
Photomicrography	0	0	0	0	2	0
Physical Stimulation	0	0	0	0	2	0
Play and Playthings	0	0	0	0	2	0
Pneumonia	0	0	0	0	2	0
Pneumonia, Bacterial	0	0	0	0	2	0
Polysomnography	0	0	0	0	2	0
Prenatal Diagnosis	0	0	0	0	2	0
Presumed Consent	0	0	0	0	2	0
Proctocolectomy, Restorative	0	0	0	0	2	0
Prostatectomy	0	0	0	0	2	0
Prostate-Specific Antigen	0	0	0	0	2	0
Proteinuria	0	0	0	0	2	0
Psychotic Disorders	0	0	0	0	2	0
Publication Bias	0	0	0	0	2	0
Pulmonary Embolism	0	0	0	0	2	0
Pulmonary Emphysema	0	0	0	0	2	0
Qatar	0	0	0	0	2	0
Radiology Information Systems	0	0	0	0	2	0
Range of Motion, Articular	0	0	0	0	2	0
Rape	0	0	0	0	2	0
Rats, Sprague-Dawley	0	0	0	0	2	0
Recognition (Psychology)	0	0	0	0	2	0
Rectal Diseases	0	0	0	0	2	0
Rectum	0	0	0	0	2	0
Relaxation Therapy	0	0	0	0	2	0
Renal Artery	0	0	0	0	2	0
Reproductive Rights	0	0	0	0	2	0
Respiratory Function Tests	0	0	0	0	2	0
Retroperitoneal Space	0	0	0	0	2	0
RNA, Viral	0	0	0	0	2	0
Sadism	0	0	0	0	2	0
Scattering, Radiation	0	0	0	0	2	0
Schizotypal Personality Disorder	0	0	0	0	2	0
Schools, Dental	0	0	0	0	2	0
Self Administration	0	0	0	0	2	0
Self Medication	0	0	0	0	2	0
Self-Examination	0	0	0	0	2	0
Sentinel Surveillance	0	0	0	0	2	0
September 11 Terrorist Attacks	0	0	0	0	2	0
Serotonin Uptake Inhibitors	0	0	0	0	2	0
Signal Processing, Computer-Assisted	0	0	0	0	2	0
Snakes	0	0	0	0	2	0
Social Adjustment	0	0	0	0	2	0
Social Desirability	0	0	0	0	2	0
Sound	0	0	0	0	2	0
Southeastern United States	0	0	0	0	2	0
Speech Recognition Software	0	0	0	0	2	0
Sphenoid Bone	0	0	0	0	2	0
Spinal Cord	0	0	0	0	2	0
Stress, Mechanical	0	0	0	0	2	0
Stroke Volume	0	0	0	0	2	0
Strongyloides stercoralis	0	0	0	0	2	0
Strongyloidiasis	0	0	0	0	2	0
Sunlight	0	0	0	0	2	0
Surgical Instruments	0	0	0	0	2	0
Tajikistan	0	0	0	0	2	0
Tasmania	0	0	0	0	2	0
Temporal Arteries	0	0	0	0	2	0
Tennis Elbow	0	0	0	0	2	0
Terminally Ill	0	0	0	0	2	0
Testicular Neoplasms	0	0	0	0	2	0
Thrombolytic Therapy	0	0	0	0	2	0
Tissue Fixation	0	0	0	0	2	0
Tobacco, Smokeless	0	0	0	0	2	0
Toxins, Biological	0	0	0	0	2	0
Transaminases	0	0	0	0	2	0
Transducers	0	0	0	0	2	0
Transference (Psychology)	0	0	0	0	2	0
Tunisia	0	0	0	0	2	0
Tympanic Membrane	0	0	0	0	2	0
Uncompensated Care	0	0	0	0	2	0
United States Government Agencies	0	0	0	0	2	0
United States Occupational Safety and Health Administration	0	0	0	0	2	0
Urinary Diversion	0	0	0	0	2	0
Urologic Diseases	0	0	0	0	2	0
Urologic Surgical Procedures, Male	0	0	0	0	2	0
Vascular Resistance	0	0	0	0	2	0
Venous Thrombosis	0	0	0	0	2	0
Verbal Learning	0	0	0	0	2	0
Veterinary Medicine	0	0	0	0	2	0
Visible Human Projects	0	0	0	0	2	0
Vitamins	0	0	0	0	2	0
Vivisection	0	0	0	0	2	0
Vomiting	0	0	0	0	2	0
Whiplash Injuries	0	0	0	0	2	0
Wounds, Penetrating	0	0	0	0	2	0
X-Rays	0	0	0	0	2	0
Economic Competition	0	0	0	12	0	0
Health	0	2	2	6	0	0
Anthropology	0	0	0	6	0	0
Decision Making, Computer-Assisted	0	4	4	4	0	0
Colombia	0	2	4	4	0	0
Fees, Medical	0	2	4	4	0	0
Chiropractic	0	0	2	4	0	0
Education, Pharmacy, Continuing	0	0	2	4	0	0
Rate Setting and Review	0	0	2	4	0	0
School Health Services	0	0	2	4	0	0
Strikes, Employee	0	0	2	4	0	0
Fund Raising	0	2	0	4	0	0
Metabolism	0	2	0	4	0	0
Arctic Regions	0	0	0	4	0	0
Equipment Failure	0	0	0	4	0	0
Hospital Restructuring	0	0	0	4	0	0
Hypnosis	0	0	0	4	0	0
Information Science	0	0	0	4	0	0
Judaism	0	0	0	4	0	0
Mexican Americans	0	0	0	4	0	0
Punishment	0	0	0	4	0	0
Respiratory Tract Diseases	0	0	0	4	0	0
Bioethical Issues	0	8	6	2	0	0
Hospital Bed Capacity, 500 and over	0	0	6	2	0	0
Radiotherapy	0	2	4	2	0	0
Student Health Services	0	2	4	2	0	0
Legislation as Topic	2	2	2	2	0	0
Foreign Professional Personnel	0	2	2	2	0	0
Bed Occupancy	0	0	2	2	0	0
Capitation Fee	0	0	2	2	0	0
Casuistry	0	0	2	2	0	0
Cholelithiasis	0	0	2	2	0	0
Christianity	0	0	2	2	0	0
Dietetics	0	0	2	2	0	0
Hematocrit	0	0	2	2	0	0
Hydrocephalus	0	0	2	2	0	0
Hypercholesterolemia	0	0	2	2	0	0
Manipulation, Orthopedic	0	0	2	2	0	0
Psychotropic Drugs	0	0	2	2	0	0
State Health Plans	0	0	2	2	0	0
Torture	0	0	2	2	0	0
Treatment Refusal	0	0	2	2	0	0
Venereology	0	0	2	2	0	0
Hospitals, Psychiatric	0	6	0	2	0	0
Partnership Practice	0	4	0	2	0	0
Angina Pectoris	0	2	0	2	0	0
Arrhythmias, Cardiac	0	2	0	2	0	0
Health Benefit Plans, Employee	0	2	0	2	0	0
Homeostasis	0	2	0	2	0	0
Hospitals, State	0	2	0	2	0	0
Medical Staff Privileges	0	2	0	2	0	0
Models, Structural	0	2	0	2	0	0
Psychopharmacology	0	2	0	2	0	0
Respiration	0	2	0	2	0	0
Social Security	0	2	0	2	0	0
Unemployment	0	2	0	2	0	0
United States Dept. of Health and Human Services	0	2	0	2	0	0
Abortion, Legal	0	0	0	2	0	0
Abscess	0	0	0	2	0	0
Acid-Base Imbalance	0	0	0	2	0	0
Acoustics	0	0	0	2	0	0
Air Ambulances	0	0	0	2	0	0
Americas	0	0	0	2	0	0
Autobiography as Topic	0	0	0	2	0	0
Battered Women	0	0	0	2	0	0
Blood Banks	0	0	0	2	0	0
Bone and Bones	0	0	0	2	0	0
Brain Diseases	0	0	0	2	0	0
Capnography	0	0	0	2	0	0
Carcinoma, Ductal, Breast	0	0	0	2	0	0
Cataloging	0	0	0	2	0	0
Cell Biology	0	0	0	2	0	0
Censuses	0	0	0	2	0	0
Cerebellar Diseases	0	0	0	2	0	0
Cerebral Infarction	0	0	0	2	0	0
Cerebrospinal Fluid Shunts	0	0	0	2	0	0
Ceremonial Behavior	0	0	0	2	0	0
Chief Executive Officers, Hospital	0	0	0	2	0	0
Cholinergic Antagonists	0	0	0	2	0	0
Cognition Disorders	0	0	0	2	0	0
Community Health Nursing	0	0	0	2	0	0
Confounding Factors (Epidemiology)	0	0	0	2	0	0
Control Groups	0	0	0	2	0	0
Cost Sharing	0	0	0	2	0	0
Day Care	0	0	0	2	0	0
Defensive Medicine	0	0	0	2	0	0
Delivery Rooms	0	0	0	2	0	0
Dentistry	0	0	0	2	0	0
Dentists	0	0	0	2	0	0
Diarrhea	0	0	0	2	0	0
Diet Therapy	0	0	0	2	0	0
Dogs	0	0	0	2	0	0
Echocardiography, Transesophageal	0	0	0	2	0	0
Ecology	0	0	0	2	0	0
Economics, Pharmaceutical	0	0	0	2	0	0
Embalming	0	0	0	2	0	0
Estonia	0	0	0	2	0	0
False Negative Reactions	0	0	0	2	0	0
False Positive Reactions	0	0	0	2	0	0
Family Therapy	0	0	0	2	0	0
Femoral Neck Fractures	0	0	0	2	0	0
Glucose Tolerance Test	0	0	0	2	0	0
Hemoglobins	0	0	0	2	0	0
Hemostasis	0	0	0	2	0	0
Hypokalemic Periodic Paralysis	0	0	0	2	0	0
Imagery (Psychotherapy)	0	0	0	2	0	0
Information Centers	0	0	0	2	0	0
Injections, Epidural	0	0	0	2	0	0
Iodine	0	0	0	2	0	0
Licensure, Hospital	0	0	0	2	0	0
Liver Transplantation	0	0	0	2	0	0
Mandatory Reporting	0	0	0	2	0	0
Manipulation, Spinal	0	0	0	2	0	0
Marital Therapy	0	0	0	2	0	0
Military Nursing	0	0	0	2	0	0
